minutes,both,half
0,     0,   0
1,     0,   3
2,     0,  16
3,     5,  92
4,    28, 240
5,    77, 490
6,   143, 761
7,   270,1070
8,   437,1369
9,   602,1717
10,   828,1950
11,  1064,2214
11,  1066,2220
12,  1335,2448
13,  1609,2630
14,  1935,2788
15,  2240,2932
16,  2560,3085
17,  2860,3209
18,  3157,3324
19,  3473,3380
20,  3782,3432
21,  4074,3518
22,  4356,3570
23,  4645,3594
24,  4960,3565
25,  5258,3558
26,  5541,3553
27,  5828,3561
28,  6093,3560
29,  6383,3489
30,  6630,3491
31,  6886,3457
32,  7131,3447
33,  7374,3432
34,  7596,3410
35,  7846,3362
36,  8050,3369
37,  8233,3376
38,  8455,3337
39,  8689,3286
40,  8878,3280
41,  9072,3267
42,  9293,3210
43,  9469,3199
44,  9636,3174
45,  9796,3144
46,  9976,3114
47, 10153,3095
48, 10327,3067
49, 10488,3051
50, 10634,3040
51, 10785,3000
52, 10931,2988
53, 11079,2960
54, 11243,2917
55, 11397,2886
56, 11525,2884
57, 11666,2854
58, 11790,2848
59, 11906,2848
60, 12030,2836
61, 12161,2806
62, 12275,2784
63, 12401,2756
64, 12537,2723
65, 12643,2718
66, 12748,2706
67, 12854,2703
68, 12968,2697
69, 13078,2678
70, 13191,2674
71, 13295,2668
72, 13389,2676
73, 13506,2645
74, 13619,2644
75, 13705,2659
76, 13802,2662
77, 13899,2646
78, 14013,2645
79, 14100,2669
80, 14191,2651
81, 14285,2649
82, 14367,2654
83, 14471,2650
84, 14580,2647
85, 14687,2634
86, 14775,2626
87, 14854,2649
88, 14955,2637
89, 15058,2634
90, 15140,2649
91, 15236,2646
92, 15326,2635
93, 15424,2624
94, 15508,2610
95, 15598,2603
96, 15687,2600
97, 15781,2575
98, 15861,2567
99, 15945,2562
100, 16030,2552
101, 16108,2553
102, 16192,2555
103, 16276,2555
104, 16351,2544
105, 16441,2545
106, 16527,2541
107, 16614,2532
108, 16699,2533
109, 16788,2515
110, 16860,2512
111, 16939,2503
112, 17011,2526
113, 17075,2544
114, 17172,2538
115, 17242,2549
116, 17301,2570
117, 17368,2573
118, 17453,2574
119, 17530,2589
120, 17614,2595
121, 17687,2607
122, 17760,2617
123, 17834,2613
124, 17909,2619
125, 17975,2635
126, 18059,2632
127, 18143,2629
128, 18211,2628
129, 18298,2617
130, 18376,2603
131, 18477,2578
132, 18557,2584
133, 18619,2609
134, 18698,2608
135, 18774,2623
135, 18775,2624
136, 18860,2616
137, 18942,2618
138, 19028,2619
139, 19101,2624
140, 19166,2652
141, 19235,2679
142, 19313,2686
143, 19386,2702
144, 19461,2713
145, 19536,2718
146, 19623,2724
147, 19698,2741
148, 19760,2762
149, 19840,2782
150, 19911,2789
151, 19997,2793
152, 20087,2798
153, 20148,2822
154, 20217,2832
